about,  〇〇について / ざっと,前置詞, a book about cooking
across,  横切った / 横に,前置詞 / 副詞, a bridge across the river
after,  〇〇の後に / 後で,前置詞 / 副詞, after school
against, 反抗して / 逆らって,前置詞, against wind
among,  〇〇の間に /  〇〇の中で,前置詞, among people
at,  〇〇に /  〇〇において,前置詞, at the door
before, 先に / 前に,前置詞 / 副詞, Come before six o'clock
between, 中間に / 間に,前置詞 / 副詞, between Monday and Friday
by,  〇〇のそばで /  〇〇によって, 前置詞, stand by me
down, 下に / 下へ,前置詞 / 副詞, come down a street
from,  〇〇から,前置詞,from this morning
in, 中に / 内側に,前置詞, in his hand
into, (入った)中に,前置詞,She came into the room
off,  〇〇から離れて,前置詞, get off a train
on, うえに,前置詞 / 副詞, a book on the desk
over, 上の方に,前置詞, over there
through, から,前置詞,through the looking-glass
to,  〇〇へ,前置詞 , go to school
under,  〇〇の下に,前置詞 , under the table
up, 上方へ / 上向きに,副詞 , stand up / wake up
with, いっしょに / ともに,前置詞 , come with me
as, 同じように,前置詞 , as soon as possible
for,  〇〇のために,前置詞 , present for you
of,  〇〇の /  〇〇に属する,前置詞 , one of them
out, 外に,副詞 ,Get out my room
according to,  〇〇によれば,副詞 ,According to a White House statement
debt, 負債 / 借り,名詞 ,national debt
also, もまた,副詞 , He also goes to the park
around, 周りに,副詞 , He goes around the park
already, すでに,副詞, He already went to the park